Video: Sample/videos/su55kMzAROCsMfmimnDS8A.mp4
FPS: 25.0
Sampling Interval: 2s (50 frames)
Range: 132s - 428s
--------------------------------------------------------------------------------------------------------------------------------------------
Time (s)   | Frame Diff %    | ROI0 Diff %     | Frame Thresh %  | ROI0 Thresh %   | Status
  182.00   |      0.000000%  |      0.000000%  |        0.0500%  |        0.2000%  | F:FAIL R:FAIL
  184.00   |      0.198333%  |      0.359428%  |        0.0500%  |        0.2000%  | F:PASS R:PASS
  186.00   |      0.152234%  |      0.267422%  |        0.0500%  |        0.2000%  | F:PASS R:PASS
  188.00   |      0.061160%  |      0.120769%  |        0.0500%  |        0.2000%  | F:PASS R:FAIL
  190.00   |      0.855424%  |      1.823828%  |        0.0500%  |        0.2000%  | F:PASS R:PASS
  192.00   |      0.036292%  |      0.066124%  |        0.0500%  |        0.2000%  | F:FAIL R:FAIL
  194.00   |      0.020910%  |      0.022161%  |        0.0500%  |        0.2000%  | F:FAIL R:FAIL
  196.00   |      0.011076%  |      0.001270%  |        0.0500%  |        0.2000%  | F:FAIL R:FAIL
  198.00   |      0.010764%  |      0.000582%  |        0.0500%  |        0.2000%  | F:FAIL R:FAIL
  200.00   |      0.008473%  |      0.006875%  |        0.0500%  |        0.2000%  | F:FAIL R:FAIL
  202.00   |      0.005737%  |      0.012233%  |        0.0500%  |        0.2000%  | F:FAIL R:FAIL
  204.00   |      0.000046%  |      0.000099%  |        0.0500%  |        0.2000%  | F:FAIL R:FAIL
  206.00   |      0.000000%  |      0.000000%  |        0.0500%  |        0.2000%  | F:FAIL R:FAIL
  208.00   |      0.057852%  |      0.123346%  |        0.0500%  |        0.2000%  | F:PASS R:FAIL
  210.00   |      1.703629%  |      3.621115%  |        0.0500%  |        0.2000%  | F:PASS R:PASS
  212.00   |      0.010524%  |      0.022438%  |        0.0500%  |        0.2000%  | F:FAIL R:FAIL
  214.00   |      0.183142%  |      0.350093%  |        0.0500%  |        0.2000%  | F:PASS R:PASS
  216.00   |      0.101653%  |      0.185830%  |        0.0500%  |        0.2000%  | F:PASS R:FAIL
  218.00   |      0.210044%  |      0.447377%  |        0.0500%  |        0.2000%  | F:PASS R:PASS
  220.00   |      0.048035%  |      0.050501%  |        0.0500%  |        0.2000%  | F:FAIL R:FAIL
  222.00   |      0.018079%  |      0.035667%  |        0.0500%  |        0.2000%  | F:FAIL R:FAIL
  224.00   |      0.009149%  |      0.017909%  |        0.0500%  |        0.2000%  | F:FAIL R:FAIL
  226.00   |      1.169074%  |      2.491978%  |        0.0500%  |        0.2000%  | F:PASS R:PASS
  228.00   |      0.010696%  |      0.022806%  |        0.0500%  |        0.2000%  | F:FAIL R:FAIL
  230.00   |      0.015747%  |      0.033555%  |        0.0500%  |        0.2000%  | F:FAIL R:FAIL
  232.00   |      0.011408%  |      0.012796%  |        0.0500%  |        0.2000%  | F:FAIL R:FAIL
  234.00   |      0.123108%  |      0.239742%  |        0.0500%  |        0.2000%  | F:PASS R:PASS
  236.00   |      1.165332%  |      2.462458%  |        0.0500%  |        0.2000%  | F:PASS R:PASS
  238.00   |      0.022982%  |      0.048985%  |        0.0500%  |        0.2000%  | F:FAIL R:FAIL
  240.00   |      0.028550%  |      0.060774%  |        0.0500%  |        0.2000%  | F:FAIL R:FAIL
  242.00   |      0.011937%  |      0.025450%  |        0.0500%  |        0.2000%  | F:FAIL R:FAIL
  244.00   |      0.226292%  |      0.441341%  |        0.0500%  |        0.2000%  | F:PASS R:PASS
  246.00   |      0.132799%  |      0.255793%  |        0.0500%  |        0.2000%  | F:PASS R:PASS
  248.00   |      1.160492%  |      2.461769%  |        0.0500%  |        0.2000%  | F:PASS R:PASS
  250.00   |      0.034958%  |      0.052418%  |        0.0500%  |        0.2000%  | F:FAIL R:FAIL
  252.00   |      0.072079%  |      0.142039%  |        0.0500%  |        0.2000%  | F:PASS R:FAIL
  254.00   |      0.542365%  |      1.156368%  |        0.0500%  |        0.2000%  | F:PASS R:PASS
  256.00   |      0.043162%  |      0.092026%  |        0.0500%  |        0.2000%  | F:FAIL R:FAIL
  258.00   |      0.009433%  |      0.020111%  |        0.0500%  |        0.2000%  | F:FAIL R:FAIL
  260.00   |      0.544757%  |      1.161467%  |        0.0500%  |        0.2000%  | F:PASS R:PASS
  262.00   |      2.280949%  |      4.852034%  |        0.0500%  |        0.2000%  | F:PASS R:PASS
  264.00   |      0.129678%  |      0.276485%  |        0.0500%  |        0.2000%  | F:PASS R:PASS
  266.00   |      0.032187%  |      0.068606%  |        0.0500%  |        0.2000%  | F:FAIL R:FAIL
  268.00   |      0.009776%  |      0.020824%  |        0.0500%  |        0.2000%  | F:FAIL R:FAIL
  270.00   |      0.001955%  |      0.004169%  |        0.0500%  |        0.2000%  | F:FAIL R:FAIL
